City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Severo-Kurilsk,RU,50.6789,156.125,36.63,90,96,7.87,overcast clouds
289,Norman Wells,CA,65.282,-126.8329,35.6,38,75,10.36,broken clouds
290,High Level,CA,58.5169,-117.136,32.0,47,40,9.22,scattered clouds
291,Rovaniemi,FI,66.5,25.7167,30.2,93,90,18.41,light snow
292,Pierre,US,44.3683,-100.351,39.2,65,90,14.97,overcast clouds
293,Ust-Nera,RU,64.5667,143.2,12.15,91,100,3.87,overcast clouds
294,Ananas,HT,19.2466,-71.9557,73.81,76,87,8.61,overcast clouds
295,Bereznik,RU,62.8551,42.7072,47.5,82,89,9.95,overcast clouds
296,Mehriz,IR,31.5917,54.4318,78.8,18,40,4.61,scattered clouds
297,Bahia De Caraquez,EC,-0.6,-80.4167,77.0,83,40,5.75,scattered clouds
298,Mandalgovi,MN,45.7625,106.2708,40.77,47,100,29.1,overcast clouds
299,Razdolnoye,RU,43.55,131.9167,50.0,53,100,5.21,overcast clouds
300,Chachapoyas,PE,-6.2317,-77.869,57.45,94,67,1.21,moderate rain
301,Altamont,US,42.2068,-121.7372,66.0,11,1,12.66,clear sky
302,Vila Do Maio,CV,15.1333,-23.2167,69.8,73,20,16.11,few clouds
303,Bakchar,RU,57.0186,82.0711,23.86,97,15,2.01,few clouds
304,Yulara,AU,-25.2406,130.9889,59.0,51,3,9.22,clear sky
305,Lodja,CD,-3.4833,23.4333,69.39,99,100,1.45,light rain
306,Nantucket,US,41.2835,-70.0995,46.4,71,1,25.32,clear sky
307,Ovsyanka,RU,55.9575,92.5519,33.8,37,0,4.47,clear sky
308,Bilma,NE,18.6853,12.9164,88.03,10,40,9.55,scattered clouds
309,Nhamunda,BR,-2.1861,-56.7131,76.55,89,85,0.13,moderate rain
310,Anadyr,RU,64.75,177.4833,17.6,86,0,6.71,clear sky
311,Behshahr,IR,36.6923,53.5526,58.78,81,100,8.19,overcast clouds
312,Denpasar,ID,-8.65,115.2167,77.0,78,20,3.44,few clouds
313,Miedzyrzecz,PL,52.4446,15.578,43.0,74,19,4.0,few clouds
314,Newport,GB,51.5877,-2.9984,48.99,57,96,11.5,overcast clouds
315,Hasaki,JP,35.7333,140.8333,59.0,67,20,6.91,few clouds
316,Palmer,US,42.1584,-72.3287,57.2,23,20,12.66,few clouds
317,Lancaster,US,40.2504,-76.2499,62.6,25,1,14.97,clear sky
318,Hvolsvollur,IS,63.7533,-20.2243,43.0,87,100,5.01,overcast clouds
319,Bonnyville,CA,54.2668,-110.735,37.4,41,75,18.41,broken clouds
320,Bom Jesus,BR,-9.0744,-44.3586,78.75,66,40,1.61,scattered clouds
321,Owando,CG,-0.4819,15.8999,70.56,98,100,4.21,moderate rain
322,Gigmoto,PH,13.7796,124.39,79.63,83,98,4.34,overcast clouds
323,Merauke,ID,-8.4667,140.3333,80.08,84,51,6.51,broken clouds
324,Vung Tau,VN,10.346,107.0843,79.61,81,79,5.7,broken clouds
325,Constitucion,CL,-35.3333,-72.4167,56.01,77,0,10.4,clear sky
326,Laguna,US,38.421,-121.4238,79.0,38,1,10.36,clear sky
327,Tiksi,RU,71.6872,128.8694,10.0,91,98,7.54,overcast clouds
328,Nchelenge,ZM,-9.3451,28.734,69.76,79,68,6.67,broken clouds
329,Banepa,NP,27.6298,85.5214,57.2,72,20,2.3,few clouds
330,Kruisfontein,ZA,-34.0033,24.7314,60.01,91,5,1.01,clear sky
331,Piacenza,IT,45.0468,9.6994,55.0,72,1,4.54,clear sky
332,Fergus Falls,US,46.283,-96.0776,37.4,70,90,16.11,overcast clouds
333,Palora,EC,-1.7,-77.9333,68.0,94,90,1.28,light rain
334,Guerrero Negro,MX,27.9769,-114.0611,64.04,62,10,22.1,clear sky
335,Punta De Bombon,PE,-17.1717,-71.7931,67.69,77,21,7.47,few clouds
336,Labuhan,ID,-6.8844,112.2051,75.51,84,16,5.73,few clouds
337,Port Hardy,CA,50.6996,-127.4199,53.6,66,90,6.91,light rain
338,Ivanovskaya,RU,55.2833,39.1167,42.8,87,90,6.71,overcast clouds
339,Galle,LK,6.0367,80.217,80.37,81,47,6.4,scattered clouds
340,Ojinaga,MX,29.5667,-104.4167,82.4,7,1,20.71,clear sky
341,Khuzhir,RU,53.1939,107.3397,26.35,80,100,9.98,overcast clouds
342,Tautira,PF,-17.7333,-149.15,86.0,62,75,11.5,light rain
343,Yar-Sale,RU,66.8333,70.8333,33.82,99,100,9.66,overcast clouds
344,Constantine,DZ,36.365,6.6147,50.0,87,40,1.14,scattered clouds
