City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
399,Bethlehem,BR,77.0,broken clouds,-1.4558,-48.5044,Mercure Belém Boulevard Hotel
403,Bambey,SN,73.4,scattered clouds,14.6955,-16.4493,chez Laurent
404,Angoche,MZ,75.81,overcast clouds,-16.2325,39.9086,Guest House HESADA
406,Celestun,MX,87.06,scattered clouds,20.8667,-90.4,Posada Lilia
407,Beni Suef,EG,65.59,clear sky,29.0731,31.0979,Jewel Inn Beni Suef
408,Terra Santa,BR,76.91,light rain,-2.1042,-56.4869,Hotel Sarah
409,Sambava,MG,73.76,overcast clouds,-14.2667,50.1667,Melrose
410,Aurangabad,IN,79.66,overcast clouds,19.8833,75.3333,OYO Rooms 012 Kushal Nagar
414,Karratha,AU,74.17,clear sky,-20.7377,116.8463,ibis Styles Karratha
417,Bukoba,TZ,65.48,light rain,-1.3317,31.8122,Elct Bukoba Hotel and Tours
418,Ixtapa,MX,82.4,few clouds,20.7,-105.2,Hotel Plaza Providencia
422,Mocuba,MZ,65.5,clear sky,-16.8392,36.9856,Phama Lodge
423,Altar,MX,82.99,clear sky,30.7,-111.8167,Hotel Maria Elena
425,Sola,VU,83.75,overcast clouds,-13.8833,167.55,Leumerus Bungalows
426,Katherine,AU,71.6,broken clouds,-14.4667,132.2667,Pine Tree Motel
